,smiles
75,[CH3:1][O:2][C:3]1=[C:4]([CH3:5])[C:6](=[O:7])[CH:8][C@@H:9]1[OH:10]
76,[OH:11][CH2:12][CH2:13][CH2:14][NH:15][C:16]1=[N:17][CH2:18][CH:19][NH:20]1
77,[CH3:10][C@@H:11]1[CH2:12][CH2:13][CH2:14][C:15]([NH2:16])=[N:17]1
78,[CH2:1][c:2]1[c:3]([NH2:4])[cH:5][cH:6][n:7][c:8]1[NH2:9]
79,[CH3:1][n:2]1[cH:3][cH:4][n:5][c:6]([NH2:7])[c:8]1=[O:9]
80,[CH3:11][C@@H:12]([C:13]#[N:14])[C:15]([CH3:16])([CH3:17])[CH3:18]
81,[CH2:8][CH2:9][CH2:10][O:11][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1
82,[CH3:1][C:2]1=[N:3][N:4]=[C:5]([NH2:6])[NH:7][N:8]=[C:9]1
83,[CH3:7][C:8](=[O:9])[O:10][CH:11]=[C:12]1[CH:13]=[C:14][CH:15]=[CH:16]1
84,[CH3:1][c:2]1[cH:3][c:4]([OH:5])[c:6][c:7]([OH:8])[c:9]1[OH:10]
85,[N:1]#[C:2][C:3]([NH2:4])[C@@H:5]([NH2:6])[C:7]#[N:8]
86,[CH2:1]=[C:2]1[C@@H:3]2[CH2:4][CH2:5][CH2:6][CH2:7][C@H:8]12
87,[CH2:1]=[CH:2][C@H:3]([CH3:4])[n:5]1[cH:6][cH:7][cH:8][cH:9]1
88,[CH3:7][O:8][C@:9]1([CH3:10])[O:11][CH2:12][CH2:13][O:14][C@@H:15]1[CH3:16]
89,[CH3:9][O:10][C:11](=[O:12])[C@H:13]([OH:14])[CH2:15][CH:16]1[CH2:17][CH2:18]1
90,[CH3:11][C@@H:12]1[CH2:13][CH2:14][C@H:15]([CH3:16])[NH:17][NH:18]1
91,[CH3:11][N:12]1[CH2:13][CH2:14][C@H:15]([NH:16][NH2:17])[CH2:18]1
92,[CH3:10][C@@H:11]1[O:12][CH2:13][CH2:14][CH2:15][C:16]1=[O:17]
93,[CH3:1][C@:2]1([OH:3])[CH2:4][C@@H:5]2[CH2:6][CH2:7][CH2:8][CH2:9][C@H:10]12
94,[CH3:1][CH:2]([CH3:3])/[N:4]=[C:5]1\[CH2:6][CH2:7][CH2:8][C:9]1=[O:10]
95,[CH3:1][c:2]1[cH:3][n:4][c:5]2[cH:6][cH:7][n:8][n:9]2[cH:10]1
96,[CH2:9][C@@H:10]([O:11][CH3:12])[CH:13]([O:14][CH3:15])[O:16][CH3:17]
97,[CH3:11][CH2:12][CH2:13][CH2:14][CH:15][CH:16]1[CH2:17][NH:18][CH2:19]1
98,[CH3:10][CH2:11][CH:12][n:13]1[cH:14][cH:15][n:16][n:17]1
99,[CH3:10][C:11]([CH3:12])[c:13]1[cH:14][nH:15][c:16](=[O:17])[nH:18]1
100,[CH2:1]=[C:2]1[CH2:3][CH:4]=[C:5]([C:6]([CH3:7])[CH3:8])[C@@H:9]1[CH3:10]
101,[CH3:11][CH2:12][CH2:13][c:14]1[c:15][n:16][nH:17][n:18]1
102,[CH2:1]=[C:2][C@:3]([CH3:4])([NH2:5])[C:6](=[O:7])[OH:8]
103,[CH2:10]=[C:11]([CH3:12])/[CH:13]=[C:14](\[CH3:15])[C:16]([CH3:17])=[O:18]
104,[CH2:9][C@@H:10]1[CH:11]=[N:12][O:13][C@@H:14]1[NH2:15]
105,[CH3:10][C:11]1([CH3:12])[CH:13][O:14][C:15]2([CH:16]=[CH:17]2)[O:18][CH2:19]1
106,[O:1]=[C:2]1[CH2:3][CH:4][CH2:5][CH2:6][CH2:7]1
107,[CH:11]=[C:12]([OH:13])/[CH:14]=[CH:15]/[CH2:16][CH2:17][CH3:18]
108,[CH3:11][CH2:12][C@:13]([CH3:14])([NH2:15])[C:16]([NH2:17])=[NH:18]
109,[NH2:7][C@H:8]1[CH:9][c:10]2[nH:11][cH:12][n:13][c:14]2[CH2:15][CH2:16]1
110,[cH:1]1[cH:2][c:3]2[cH:4][n:5][cH:6][nH:7][c:8]-2[cH:9]1
111,[CH2:10]/[CH:11]=[CH:12]/[N:13]=[CH:14]/[CH2:15][CH3:16]
112,[CH3:11][CH2:12][c:13]1[cH:14][c:15]([CH3:16])[cH:17][cH:18][c:19]1[CH3:20]
113,[CH3:9][O:10][C@@H:11]1[CH2:12][O:13][CH2:14][O:15][C@@H:16]([CH3:17])[CH2:18]1
114,[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C@H:6]([NH2:7])[CH2:8][O:9]1
115,[CH3:1][N:2]1[CH2:3][CH2:4][C:5]([CH2:6])([NH2:7])[CH2:8][CH2:9]1
116,[O:1]=[N:2][N:3]1[CH2:4][CH2:5][N:6]([CH2:7][OH:8])[CH2:9][CH2:10]1
117,[N:10]#[C:11][C@H:12]1[CH2:13][CH2:14][CH:15][C@@H:16]([C:17]#[N:18])[CH2:19]1
118,[OH:1][c:2]1[cH:3][cH:4][n:5]([OH:6])[cH:7]1
119,[cH:1]1[cH:2][n:3][c:4]2[c:5]([cH:6]1)[CH2:7][CH2:8][CH2:9][O:10]2
120,[CH3:1][C@:2]1([CH:3][NH2:4])[CH2:5][CH2:6][O:7][CH2:8]1
121,[CH2:9]=[CH:10][C:11]1=[CH:12][CH:13]=[CH:14][CH2:15]1
122,[CH2:10]=[CH:11][C@@H:12]([OH:13])[CH2:14][NH:15][CH2:16][CH:17]=[CH2:18]
123,[CH:1]1=[CH:2][CH2:3][c:4]2[nH:5][cH:6][cH:7][c:8]2[CH2:9]1
124,[CH3:1][C@H:2]1[CH2:3][C@@H:4]([CH3:5])[NH:6][CH2:7][NH:8]1
125,[NH2:1][CH2:2][CH:3][CH2:4][N:5]=[C:6]([NH2:7])[NH2:8]
126,[CH3:1][O:2][CH2:3][CH2:4][C@H:5]([NH2:6])[CH2:7][OH:8]
127,[NH2:10][C:11]1([CH2:12][CH2:13][OH:14])[CH2:15][O:16][CH2:17]1
128,[CH2:9]=[CH:10]/[C:11](=[CH:12]/[O:13][CH2:14][CH3:15])[CH2:16][CH3:17]
129,[CH3:1][CH2:2][C@H:3]([CH3:4])[N:5]1[CH2:6][CH2:7][NH:8][CH2:9][CH2:10]1
130,[CH3:11][CH2:12][NH:13][CH:14][c:15]1[o:16][n:17][cH:18][c:19]1[CH3:20]
131,[NH:11]=[C:12]1[CH:13]=[CH:14][C:15](=[O:16])[CH:17]=[CH:18]1
132,[CH3:1][CH:2][C@H:3]([NH2:4])[C@@H:5]1[CH2:6][C:7]1([CH3:8])[CH3:9]
133,[CH:10]=[CH:11][C@@H:12]([OH:13])[CH2:14][NH:15][CH2:16][CH:17]=[CH2:18]
134,[CH2:11]1[NH:12][C:13]2([CH2:14][CH2:15]2)[CH2:16][NH:17][C:18]12[CH2:19][CH2:20]2
135,[CH3:11][c:12]1[cH:13][c:14]([N:15]([CH3:16])[NH2:17])[n:18][cH:19][n:20]1
136,[NH2:10][c:11]1[cH:12][cH:13][c:14]2[c:15]([cH:16]1)[CH2:17][CH2:18][NH:19]2
137,[CH3:11][CH2:12][C@@H:13]1[CH2:14][CH2:15][CH2:16][C:17]1=[O:18]
138,[CH3:11]/[CH:12]=[C:13]1\[CH2:14][CH2:15][CH:16]\[C:17]1=[CH:18]\[O:19][CH3:20]
