,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
20,1818,0.3559576274035337,16.34514653085928,13.750596526498152,1.092677222161086,76.6,75.50732277783891,2.6922991236913276,133.0364,130.34410087630866,0.755,-0.18105430901050568,0.6685152649879456,0.334,0.33556628227233887,-0.334,-0.32847222685813904,-0.164,0.24916114554119012,0.13
21,2450,-31.40277746795555,4.404074561222764,3.710950275353376,-28.623370601422238,78.27092939857776,106.8943,-36.015610997534,119.99398900246601,156.0096,0.3617266118526459,-0.326,1.025,0.3204229176044464,0.329,-0.4392484724521637,-0.657,-0.3407893478870392,0.0,0.35135864921173404
22,2464,-31.22962095252726,5.313398268355716,4.714133951064584,-28.32133590419791,78.57296409580209,106.8943,-34.397414810954686,121.61218518904532,156.0096,0.38208234310150146,-0.326,1.025,0.3244633972644806,0.329,-0.44069749116897583,-0.657,-0.3404358923435211,0.0,0.38224332111636483
23,3385,1.377886837687406,23.282927568329622,20.737495885359664,3.506223812281121,77.17370719944805,73.66748338716693,7.199876492204254,128.9997766990407,121.79990020683644,0.731819212436676,-0.16731128096580505,0.7288800477981567,0.12198957800865173,0.34405675530433655,-0.21281202137470245,-0.3082576096057892,0.08375788480043411,0.3353937308395653,0.55972209850279
24,3485,-8.396485204759456,13.816208287984924,13.4078219890764,-5.425632119517132,78.70466449842434,84.13029661794147,-14.750997680233809,116.52873668289294,131.27973436312675,0.6276959180831909,-0.12234232574701309,0.8020069599151611,0.11163698136806488,0.35194671154022217,0.09203033149242401,-0.3086426854133606,-0.019153909757733345,0.2768513392845588,0.43187052630067546
25,3558,-1.805051750119446,15.608154993201511,13.218733142805156,-1.8775062093028794,74.72249379069711,76.6,-5.371602153741364,127.66479784625862,133.0364,0.6185768246650696,-0.164,0.755,0.3305377960205078,0.334,-0.32800647616386414,-0.334,-0.1873176246881485,0.13,0.21050548419706117
26,5043,-21.024020058382188,4.699464455472644,4.37222470922581,-19.22998850314808,87.66431149685192,106.8943,-27.422379625630725,128.58722037436928,156.0096,0.9281939268112183,-0.326,1.025,0.1420127898454666,0.329,-0.11814713478088379,-0.657,-0.07377558946609497,0.0,0.4484946482365383
27,5048,-21.13270551367401,3.798337250133893,3.4824556655389327,-19.172715752585304,87.7215842474147,106.8943,-27.581412147515806,128.4281878524842,156.0096,0.9143295884132385,-0.326,1.025,0.1409519761800766,0.329,0.020025793462991714,-0.657,0.11927331238985062,0.0,0.5221651753859697
28,755,-18.456754762493656,6.67090269789222,6.625785546335942,-15.928227106260707,90.9660728937393,106.8943,-19.212686070825924,136.79691392917408,156.0096,1.028773307800293,-0.326,1.025,0.13814601302146912,0.329,-0.4459982216358185,-0.657,-0.4064475893974304,0.0,0.26147622522133085
29,761,-16.85811071455226,6.478466066253062,5.902725467205984,-14.783020297607848,92.11127970239215,106.8943,-17.808664320754644,138.20093567924536,156.0096,1.0189098119735718,-0.326,1.025,0.13969504833221436,0.329,-0.4142860174179077,-0.657,-0.4078160226345062,0.0,0.2728497670300794
30,767,-21.735014315678047,4.109460193334823,3.7723862542718334,-19.872097049865616,87.02220295013439,106.8943,-23.299343966678776,132.71025603332123,156.0096,1.0078139305114746,-0.326,1.025,0.13182972371578217,0.329,-0.2566405236721039,-0.657,-0.23741227388381958,0.0,0.4091539914236524
31,799,-17.22688654857967,6.541401344673321,5.972217364496389,-15.239094683399372,91.65520531660063,106.8943,-18.41748446004624,137.59211553995377,156.0096,1.0362709760665894,-0.326,1.025,0.14867833256721497,0.329,-0.4454760253429413,-0.657,-0.4327639043331146,0.0,0.3744683930115615
32,819,-24.441457118651748,4.26709743162591,3.879257100928569,-20.999780334088612,85.89451966591139,106.8943,-27.087628002473537,128.92197199752647,156.0096,0.8716652393341064,-0.326,1.025,0.12233910709619522,0.329,-0.1011170744895935,-0.657,-0.07028420269489288,0.0,0.381119819979502
33,861,-19.15554061202273,6.296840226219493,5.9120996641481005,-15.674362118805547,91.21993788119445,106.8943,-19.57893878775573,136.43066121224427,156.0096,0.9921866059303284,-0.326,1.025,0.13151876628398895,0.329,-0.39455634355545044,-0.657,-0.35060572624206543,0.0,0.18308014300730124
34,899,-18.357154385373427,6.569372561204403,6.271807450264917,-15.56184430673899,91.33245569326101,106.8943,-19.084344614587877,136.92525538541213,156.0096,1.025881290435791,-0.326,1.025,0.14596325159072876,0.329,-0.42953354120254517,-0.657,-0.394286572933197,0.0,0.3491387380022583
35,1090,-27.35697274394592,6.947684692867932,6.722531336064509,-24.883689366739276,82.01061063326073,106.8943,-22.15359218418891,133.8560078158111,156.0096,0.7693341374397278,-0.326,1.025,0.14944271743297577,0.329,-0.4770536720752716,-0.657,-0.3478853106498718,0.0,0.2903910995405327
36,1275,-16.599653528357425,7.467408528457555,7.200682464548855,-14.527977399496038,92.36632260050396,106.8943,-18.03798328310691,137.9716167168931,156.0096,1.0379542112350464,-0.326,1.025,0.1423621028661728,0.329,-0.40099334716796875,-0.657,-0.3706284165382385,0.0,0.22807991210715783
37,1289,-16.909328380087217,6.853564798368498,6.84002923643165,-13.909782542520801,92.9845174574792,106.8943,-17.66895246971677,138.34064753028323,156.0096,1.0445417165756226,-0.326,1.025,0.1559852659702301,0.329,-0.4367583990097046,-0.657,-0.3787596821784973,0.0,0.3528585728222824
38,1290,-19.4567951371942,9.736351026066588,8.857887140062044,-17.834783829794176,89.05951617020582,106.8943,-19.068339058847215,136.9412609411528,156.0096,0.9316160082817078,-0.326,1.025,0.15686391294002533,0.329,-0.44961169362068176,-0.657,-0.37345290184020996,0.0,0.2762342658965413
39,1310,-17.26360751450138,7.143049377628115,6.848995722979601,-14.535751609830058,92.35854839016994,106.8943,-18.311712787470242,137.69788721252976,156.0096,1.0554049015045166,-0.326,1.025,0.14017824828624725,0.329,-0.4012278616428375,-0.657,-0.39252880215644836,0.0,0.30341066556772184
40,1318,-15.951195695717352,7.214340679737131,7.12778981319169,-14.704262246326223,92.19003775367378,106.8943,-18.064051188229797,137.9455488117702,156.0096,1.0648590326309204,-0.326,1.025,0.13555146753787994,0.329,-0.4157998561859131,-0.657,-0.3946537375450134,0.0,0.2421846285946403
